2001,I have corona is gonna be the im having a baby april fools joke of 2020,10
2002,"imagine if the corona virus is just an april fools prank, but it lasts forever.",3 4 9 10
2003,Pushing the free therapy for health care workers agenda when this COVID19 Arc is coming 2 an end.,0 1 5
2004,Corona virus got females textin me from months ago sending their location tonight I think tf not honey !,10
2005,"Tomorrow beings the 1st day of april, shit the government better not be saying this whole COVID19 was just some AprilFools joke.",3 10
2006,"Woah woah woah, so before all die of corona does anyone wanna admit to wanting me in their life?",4 10
2007,If a church is fully shut down right now they already made themselves none essential long before Corona.,6 9
2008,can corona virus be like april mop fooolsss and just go away?,3 6
2009,Im ready for this corona virus to just be one giant April fools joke,0 10
2010,We are prayer to god give big power fight agents Corona virus.,2
2011,I have a sinus infection and everyone keeps saying are you sure it isnt the corona like please shut up,6
2012,So tired of my nails looking like wtf and why .. corona free is pls,6 10
2013,"What happened to testing 25,000 people a day, then it was announced that they would test 100,000 a day? Are they testing ANY?? COVID19",7 8 9
2014,If this corona shit clears before the summers over Im tryna hit some sand dunes,0 6 10
2015,I dont want any scary jokes about coronavirus Im serious one of my relatives is positive in another state Im very anxious about it,4
2016,The situation is worse in America because of corona Just pray for them Hope everything will be fine soon,0 2
2017,I think we can now see how important it is to have a national American healthcare plan for everyone Covid19,0 1
2018,Haha good joke Corona say april fools now pls,9 10
2019,Might as well dock there the whole state will have Coronavirus by the end of this week...,3 4 5
2020,"hunger in nigeria,no water,no equipped hospital, no food for masses,etc",3 9
2021,in a non-coronavirus timeline Id be moving to Montreal rn....kind of scary lol. Im excited to do it eventually though,0 4
2022,CoronaVirus U.K. : 381 Dead Over The Last 24 Hours in The United Kingdom. Source :,8
2023,the ONLY way to limit irresponsible social gatherings is for Governors to set curfews. COVID19,0 6
2024,"Is there still no Kung Fu Flu, Communist Cough, China virus, Covid19 in detention facilities and prison?",6 7
2025,There are now 19 cases of corona virus in Syria in which 3 people have recovered but 2 people have died.,5 8
2026,"Good for you. We haven't seen the worst of corona, so I'm staying still. I think I might deliver pizzas eventually.",0 10
2027,Hopefully Tomorrow the corona virus will say April fools.... and we can all have a life again just maybe?!,0 10
2028,Sound adventurously exciting ! cant wait til COVID19 clears us !,0 10
2029,I hope that folks that got turned down for corona tests can get tested for immunity soon,0
2030,When you have a brain injury you survive off Ibuprofen on a daily basis. Pray to God I dont get Corona,4 10
2031,dad walked in on me watching an art stream where peter griffin was the coronavirus and he didn't ask about it but i know he wanted to,5 10
2032,Anyone else think this is fearmongering? An attempt to up the panic? coronavirustruth coronavirus,4 7 9
2033,My brother is a FrontLineHero hes a police officer and Im so worried COVID19,4
2034,Wohoo there is are no more corona cases. You can freely go anywhere around the globe AprilFoolsDay coronavirus,10
2035,"New York Coronavirus Deaths Jumped 27% Since Yesterday To 1,550. Sue Herera, Halftime Report 3/31/20 TradersEdge",8
2036,So are we telling our kids that the Easter bunny got coronavirus or that Carole Baskin killed him ?,4 10
2037,How many April fools/ coronavirus tweets and fb posts you gonna see tomorrow. Answer? Too many.,9 10
2038,The rise in COVID19 cases in Cumbria continues to rise. Sad and anxious times for everyone. StaySafe,4 9
2039,This pandemic will show who is a true leader and who is unfit for the role. Covid_19,0 1 9
2040,me and joe at 5am munching banana bread made in a slow cooker... COVID19,0 5
2041,Open the churches for Easter and give people Corona virus. There. I fixed it for you.,5 6 10
2042,On the occasion of Utkal sthapana dibas I congrats all my brothers of Odisha For saving it from corona stay home stay safe please save life,0 1
2043,"Germany don't have nehru and Nizamuddin to blame, That is why the finance minister committed suicide after COVID19 Spreads.",3 6 9 10
2044,"When coronavirus is all said done, will we temp check passengers as they pass through TSA?",2 9
