3626,Build your story well! Lead by example. managers corporate COVID19 WorkFromHome,0 1
1130,Uncle Ed is back bitches!!! Am I the only one who has ate raw chicken and watched over watch porn during this long break? COVID19,4 10
4965,Its crazy how this bitch corona got niggas making songs about her,6 9
361,My mom asked me if corona was messing with my dating life... I said no mom. I dont have a dating life to mess up,0 10
771,"What if country leaders shouting today AprilFoolsDay claiming COVID19 was a prank, if that is the case.",0 2 10
1504,i only came here to kill coronavirus and chew xanax. And I'm all out of xanax. fuck.,6 10
3547,This corona made me realize i took normal life for granted i just want everything normal again so bad:&lt;,3 5
2260,ASX Dogs and cats carry coronavirus COVID19 - Hong Kong Scientists,8 9
2518,Coronavirus outbreak in India: From 1 to 2500 cases: 9 weeks From 2500 to 5000 cases: 6 days lockdownextension COVID,8
3827,"The First Minister says there have now been 366 Covid-19-related deaths in Scotland, as of 9am today.",8 9
1039,Let's all of us gather in Mandirs today. Corona ke chakkar mai ashtmi chorde!? DurgaAshtami,4 6 9
1752,"Whenever someone refers to Corona virus as The Rona it reminds me, that was my nickname growing up because it's short for Cabrona",6 9 10
4974,Wait ooo why jas Corona Virus catch my phone or my Twitter account,10
1037,Anyone else hoping we all wake up and someone yells APRIL FOOLS AprilFools COVID19,0 10
2273,This shit is all a simulation yall that got corona downloaded bad software .,5 10
1538,"Woke up with a tic attached to my arm, looks like lime is going with the corona",10
1126,"joking about the Coronavirus is sick, joking about sending corona beer when loved ones are dying is so wrong",6 10
749,re zero rlly got pushed back cus of coronavirus. i HATE IT HERE,6
1763,I really came into 2020 with a fresh mindset and corona done fucked it up honestly,6
320,do u think covid19 is all just a big joke and tomorrow the universe is just gonna say april fools and everything will go back to normal,10
4178,"Believe it or not, but I am the first line of defense for corona virus where I work. Kosom el geish",0 6
1443,"coronavirus covid19 summary count Coronavirus Cases: 859,032 Deaths: 42,322 Recovered: 178,101",8
2546,January 8. First COVID19 warning from CDC was JANUARY 8th!!!,6
4061,Hes a Republican! Bottom line majority of doesnt seem to take COVID19 seriously!,6 9
1484,So a has been wanna lie that he got the coronavirus as an April fool's joke?? Come on now y'all grown...,6
4840,cant believe kim petras just got rid of the coronavirus like that,0 3 7 9
3691,"No maternity shoot, no baby shower, no visitors in the hospitals, alone during my dr appointments, its like covid19 answered all my wishes",0 10
3301,Indian media and IT cell is so great that they can even prove that Corona virus (Covid-19) originated from Nizamuddin and not from China,6 9 10
3572,This corona virus chit is in the way of a lot my plans forreal,3 5
4749,There's a lot of contradicting information going on around how the coronavirus test goes down.,0 7
2006,"Woah woah woah, so before all die of corona does anyone wanna admit to wanting me in their life?",4 10
4235,"UPDATES : MEXICO Total Cases 2,785 (+346) Recover 633 Death 141 ( +16) COVID19 Covid19Update",8
2135,Happy New Month tweeps. May this month bring an end to COVID19 Amen,0 2
2927,Stay at home. No caravan parks No West Cork No Brittas PEOPLE ARE DYING. YES.. DYING. COVID19,0 4 6
4961,am i too old to be the inspiration for the coronavirus american girl doll that will be coming out in a few years,3 10
1621,We interrupt this corona virus bullshit to bring you an earth quake in Emmett Idaho.,5 6 10
3443,Wait so Burna boy just drop one statement and the whole TwitterNg just forgot about COVID19 ?,5 6 10
1262,"There's a great, big, beautiful tomorrow! Is this true? I just don't know anymore! COVID19 coronavirus StayAtHome",0 3
4758,thinking about the fact that me n jesus would be out living a good life if the corona hadnt happened,3 4 9
1462,Ki lo de? On top this CORONA? Abi something else???!!!,10
4588,I swear were fighting two viruses: Coronavirus and Stupidity,6 10
1609,As soon as this Coronavirus is over. I'm opening a Big Cat Farm. But only so I can have six wives that might kill me. coronavirus COVID19,0 10
1913,300 people follow me or else ur gunna catch corona &lt;3,10
2310,have a feeling there's gonna be a lot of corona related April fool's jokes tmmrw and if you're considering making one let me just say Don't,6
985,"Covid19 Florida continues to escalate. It has the 5th highest number of cases and added over 1,000 today.",5 8
2635,im tired of celebrities singing like thats gon stop ms. corona,6 10
1569,Pray for all the people who have to hear Oh no! I think I have the corona virus.... APRIL FOOLS tomorrow their pain is felt,10
459,Animal jam giving free 2 week memberships because of corona... maybe I am 10 again,10
4567,who is coronavirus and why is her body count so high??? not to sl*t shame or anything but that's a lot...,6 10
4834,New York Times Goldmacher truly sick spin on Coronavirus...,4 7 8
2855,SG says the COVID19 pandemic is the most challenging crisis we have faced since the Second World War.,5 8
2552,Can't believe school won't be happening for another month and a half. So sick of this corona virus,5 6
2329,Soooo can corona be a long awaited April fools joke? Please.,0 10
3481,My anxiety is out the roof with this Covid19 pandemic .. I could have a hiccup I get to thinking I got that shit,4 10
823,"36 new confirmed case(s) in China totaling 81,554 in this place. Already 859,460 worldwide. coronavirus covid19 China",8
1842,Bet: We are two weeks away from coronavirus being virtually eliminated in the us,0 10
838,So its April fools day and Im waiting for someone to say that all this corona shit is fake so we can all go back to our normal lives,0 5
1310,This extravert had been *loving* the time to introvert and recharge. Thanks COVID19 now ... Go away.,0 5 6
3986,"Two contibutions of M's in the name of god are Terror!sm Covid19 , inka majhab sab pe bhari.",4 6 7
3854,"If my life were a movie right now it would be called : EAT, NETFLIX, CORONAVIRUS NEWS AND UPDATES every single f**cking day !!",5 6 10
1085,One good thing about the quarantine: I can now have fresh hot pasta for lunch. COVID19 yum,0 10
197,"No, anti-vaxxer mom in my fb feed, Bill Gates is not going to to fucking inject people with some corona virus microchip implant.",6 10
2648,"I went to the ER last night for a non- COVID19 reason, so I guess you could say I know how Katniss Everdeen feels",4 10
588,Yall I need to go to therapy and I cant cause of this coronavirus shit and I wish I could access it online and I cant,5
2934,I miss my mum so bad. If it wasn't for this corona nonsense I just know she'd fly me out,5 6
3478,"corona, u were a bit early but nows the time to say april fools",0 10
3167,Wonder how many people are gonna joke about getting coronavirus. AprilFools,6 10
126,"Asuma White House projects 120,000-240,000 coronavirus deaths in the US......",5 8 9
865,"Just like coronavirus, if we wait until thousands are dying to address global warming itll be way to late.",3 4
1212,Its officially clear to me why the government has never told us about the Aliens coronavirus wereallbatshit whereisallthetoiletpaper,7 10
2731,"If not for Corona virus,many Nigerians will not know what sanitizer looks like!!",10
1264,imagine being known nt bcs of ur music but the one idol that pretended to have coronavirus,5 6 10
2086,Im literally scared to get corona and I get anxiety and start thinking I have it and idk Im just scared,4
4729,"Corona Virus will end soon in Jesus name claim it,Amen!",2
898,"In 15 years, kids are gonna be captioning their 19th birthday pics 19-my corona year!",10
2790,as corona centre is the swimo open jii solar nayo one needs self quarantine kwa hio pool !,5 6 10
3337,"So Coronavirus was just one long April Fools prank right? 2,387 127K 859K",10
470,"152 doctors, 63 nurses nagpositive sa covid19",5 9
688,"We know today is the first of April, please nobody should go and start doing Aprilfool with Corona virus oo abeg ooo.",6 10
398,"CoronavirusInSA Gauteng has recorded the first COVID19 death, with the mortality rate here in South Africa edging up to 0.37%.",6 8
4219,"I wish Cyril could shout: April Fools, there is no Corona in SA",0 5 6
541,Great job trump. You want to be 1 and you are on track to have the highest covid numbers in the Coronavirus,6
922,"The first person I hear say Coronavirus is over......April Fools! tmo, is gonna get a punch in the throat.",6
4596,Coronavirus is forcing Nigerias leaders to confront the broken health system they rarely use......,5 6
768,BREAKING Oman pardons almost 600 prisoners including 336 foreigners amid coronavirus fears. Good news,5 8
3639,"Yall better back the fuck this year, weve had enough of this coronavirus",5 6
1721,corona got us so fucking bored it made leafyishere come back...,3 5
2050,NJ is so embarrassing. why do yall keep throwing Corona bbqs/parties?? its not even hot outside yet .,5 6
2721,Im praying the government says that corona is an april fools joke,2 10
2393,just saw the first i have corona april fools joke maybe ill just abstain from social media for today :)),5 6 10
1361,Anybody posting corona virus april fools jokes on the TL getting blocked quicker than my dad left me,6 10
1740,"be honest, by now some/many of you have started watching Everybody Loves Raymond and King Of Queens covid19",0 9 10
4321,"Unless you found Corona virus in J. Edgar Hoover's tomb, just go away.",6 10
4374,And thats exactly why joe Biden said he didnt want to debate trump about how corona is being handled,3 9
2683,Dear pm order to army directly shoot who spread Corona by Delhi matter,6
376,if yall woulda voted Joe Exotic for governor non of this corona shit would be happening,5 10
4788,$NVAX Identifies Coronavirus Vaccine Candidate; Accelerates Initiation of First-in-Human Trial to Mid-May,0 8
3837,"Got what she deserved. Probably voted for Trump too. Excellent job, dipshit! coronavirus",6 10
587,"A glass of wine keep corona away,, ya heard kids",10
3106,Absolutely essential- another group of unsung heroes in the fight against COVID19,0 1
2264,"When whole world is frightened by COVID19, JK admin, feels it feasible a time to define who the domicile is...",0 4 6
4036,Fever dream high In the quiet of the night You know that I caught it Miss taylor predicted coronavirus,0 10
4200,Hospitals are clamping down and threatening to fire health-care workers who publicize their working conditions... USA.. coronavirus,6 8
4360,on MF with Russian table tennis picks tonight on F U COVID19 the fighting spirit of sportsgambling lives on,0 6 8
3127,Mosque all over India are spreading Corona because they are jihadi .Now they are spreading Corona as a Islamic propogand CoronaJihad,6 7 9
3265,Bigger debaters/pundits arguing in bad faith: Hugh or Rich? coronavirus ConservatismisDead,6 7
2708,"aap kab donate krege pm cares fund mai ,plz help fight against Corona",0 2 5
2925,The Coronavirus has been the perfect distraction from the Treason committed by The Democrat Party and The Obama Administration.,7 8
763,Alright time for the government to say April fools bout Corona so we could get back to our lives,0 3 4 10
62,i think its time for you to announce that this corona shit was an april fools prank thanks,4 10
4516,They say this Corona shit started in China..you know who really started this shit? ...I know yall know..YES INDEED. CAROLE FUCKIN BASKIN,6 10
2098,Come on common sense knows Covid19 came from the Wuhan labs.,6 7 10
555,Breaking: 14 tested positive for corona virus today in JK.. Total positive cases stands at 139,8
3932,Read. Sign. Take a stand against anti-Asian racism in the age of COVID-19. Your turn.,0
3387,Ion know whats more contagious catching the Coronavirus or being broke,0 3 5 10
4453,Tomorrow being April 1st I am fully expecting the government to inform us that the coronavirus isnt real and life can return to normal.,0 10
3298,"Thank you, China! And on top of that they sold the world non-working Coronavirus tests and defective facemasks.",1 7 9 10
3499,"Have you or anyone you know been affected by COVID-19 (tested positive, recovered, passed away)? coronavirus COVID19 Covid_19",8 9
895,Yall all such good mathematicians why yall so scared of coronavirus but regularly text and drive,0 6
1000,In this new day and age how would the crime of tickling someone be classified? Coronavirius COVID19,10
3005,Corona virus is april fool. Now everybody is get back to working.,7 10
4997,My cousin passed away from the corona virus today. Today has been a day. Everyone please be safe. Sanitize sanitize sanitize! Be careful,4 5
3982,Don't joke about having coronavirus please. I know its april fool. Actual people have died from it. The numbers keep rising.,6
687,Can't believe it took a Coronavirus Lockdown for folks to discover Ozark.. Lewl,10
1561,"CHINA: given our experience w covid19, how can we help other countries? USA: who must we blame for covid19?",7 10
3891,The people working PR for the Astros are eternally grateful for the coronavirus tbh,10
4808,Africa might want to reach for Corona Virus vaccine forever.,0 9
4738,My mom accused me of having corona because my eyes were really red ummm no Karen I was crying cause I cant stand being in this house,5 6 10
2206,can we all wake up in the morning of April 1 and hear in the news that the covid19 and other bad things miraculously disappeared?,0 3
3530,I better not see any omg I have coronavirus...hehe April fools!!!111! jokes on my timeline or youre getting blocked,6 10
3343,April fools about to hella ass tomorrow. i got corona HAHAHAHA so freaking stupid,6 10
418,"I have not been sharing corona posts, but I think this is worth the read! Stay home and pray people!!!",0
1944,"Breaking: 43 new coronavirus cases reported in AndhraPradesh, tally in state rises to 87: Govt",8
4047,Haha so funny cant wait for all the I have coronavirus April fools jokes tomorrow,10
2333,"I expect soon a vaccine from the UK will be produced, and no more coronavirus. AprilFools COVID19",0 10
2010,We are prayer to god give big power fight agents Corona virus.,2
3444,If you are stupid enough to think 5G causes coronavirus then your are stupid enough to.... I'll let you work out the rest.,6
2093,I need this corona shit to pass ASAP so can stop tormenting me,5 6 10
1931,omg I have runny nose maybe I have corona :( bitch im scare,4
1449,COVID19- JUST ANOTHER MSM - ENEMY OF THE PEOPLE SCAM!!! WWG1WGA FilmYourHospital,3 7
1981,Linda Lusardi using coronavirus as a way of getting a fading career back on the money track Pathetic,3 6
268,After Human now a four-year-old female Malayan Tiger at the Bronx Zoo of New York has tested positive for the coronavirus.,4 8
4213,"not to sound like a total nerd, but this whole corona thing is definitely gftw's fault",4 6 7 9 10
1990,Early lockdown in India has given us time to enhance testing and treatment the patients to root out Coronavirus .,0 1 8
4227,Another 13 year old died from COVID19 in UK so is now Confirmed no.age is safe let us keep praying hard,2 4
2140,"apparently if you were sick late winter you had corona and i believe it, cause i honestly felt like i was on my death bed",4 8
1482,project a photo of every celebrity that tests positive for coronavirus on the sky dome like in hunger games,10
1413,Waiting for the government to come out and say coronavirus was all an April fools prank,0 10
2091,"Number of confirmed coronavirus cases in Germany rises by 5453 to 67,366, deaths by 149 to 732 Reuters",5 8
2059,"How come ppl overstay on tourist Visa and spread terror and corona, where is law",6 10
2487,"Okay malaysian ahgase, not to trigger but actually we were supposed to watch the VCR the HOT one at the concert but coronavirus..........",5 6
2421,So who is gonna build a coronavirus-era startup company? What services will it offer?,0 4
267,"Due to Coronavirus in the USA, Mexico has requested that hurry up and build the wall. LOL",6 10
